#chrom	start	end	gene_name	ensembl_id	strand
chr1	11980180	12015211	MFN2	ENSG00000116688	+
chr1	22710797	22921500	EPHB2	ENSG00000133216	+
chr1	29192656	29230958	MECR	ENSG00000116353	-
chr1	155563234	155616644	MSTO1	ENSG00000125459	+
chr1	219968597	220046669	EPRS1	ENSG00000136628	-
chr1	228165776	228182257	IBA57	ENSG00000181873	+
chr2	15166912	15561340	NBAS	ENSG00000151779	-
chr2	55634060	55693863	PNPT1	ENSG00000138035	-
chr2	227325150	227361188	MFF	ENSG00000168958	+
chr3	15601340	15722522	BTD	ENSG00000169814	+
chr3	94062979	94131832	NSUN3	ENSG00000178694	+
chr3	100709294	100793279	TFG	ENSG00000114354	+
chr3	193593101	193697947	OPA1	ENSG00000198836	+
chr4	6269831	6303265	WFS1	ENSG00000109501	+
chr4	41256412	41268567	UCHL1	ENSG00000154277	+
chr4	102868737	102903259	CISD2	ENSG00000145354	+
chr4	112285508	112442621	ALPK1	ENSG00000073331	+
chr5	218205	257084	SDHA	ENSG00000073578	+
chr5	93583221	93594611	NR2F1	ENSG00000175745	+
chr5	110738135	110765173	SLC25A46	ENSG00000164209	+
chr6	73461577	73509236	MTO1	ENSG00000135297	+
chr6	106559392	106629503	RTN4IP1	ENSG00000130347	-
chr7	73680917	73683453	DNAJC30	ENSG00000176410	-
chr7	141731898	141787922	SSBP1	ENSG00000106028	+
chr8	144333956	144361447	SLC52A2	ENSG00000185803	+
chr9	105244518	105439873	SLC44A1	ENSG00000070214	+
chr10	26697440	26746798	PDSS1	ENSG00000148459	+
chr10	27107776	27155266	YME1L1	ENSG00000136758	-
chr10	30309800	30374448	MTPAP	ENSG00000107951	-
chr11	85647955	85656547	TMEM126A	ENSG00000171202	+
chr11	111908238	111923722	CRYAB	ENSG00000109846	-
chr12	6965326	6970841	PHB2	ENSG00000215021	-
chr12	32679199	32745650	DNM1L	ENSG00000087470	+
chr12	57546025	57586633	KIF5A	ENSG00000155980	+
chr12	123232141	123258079	MTRFR	ENSG00000130921	+
chr13	23729999	23889448	MIPEP	ENSG00000027001	-
chr14	74493720	74499758	ISCA2	ENSG00000165898	+
chr15	64155739	64163159	PPIB	ENSG00000166794	-
chr15	64990828	65029652	MTFMT	ENSG00000103707	-
chr16	67844368	67872569	NUTF2	ENSG00000102898	+
chr16	89490718	89557768	SPG7	ENSG00000197912	+
chr17	48928971	48944842	SNF8	ENSG00000159210	-
chr17	49404008	49436245	PHB1	ENSG00000167085	-
chr17	74862493	74873039	FDXR	ENSG00000161513	-
chr18	12328870	12377473	AFG3L2	ENSG00000141385	-
chr19	17075727	17214537	MYO9B	ENSG00000099331	+
chr19	29691269	29716060	C19orf12	ENSG00000131943	-
chr19	45527766	45602212	OPA3	ENSG00000125741	-
chr22	39499431	39518132	MIEF1	ENSG00000100335	+
chr22	41447829	41529273	ACO2	ENSG00000100412	+
chr22	43130626	43143401	MCAT	ENSG00000100294	-
chrX	47142070	47145507	NDUFB11	ENSG00000147123	-
chrX	49074430	49101203	WDR45	ENSG00000196998	-
chrX	49205062	49233371	CACNA1F	ENSG00000102001	-
